interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,market,location_short_name,location_type,lmp
2022-01-01T07:05:00-05:00,2022-01-01 12:05:00+00:00,2022-01-01T07:10:00-05:00,2022-01-01 12:10:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,15.060595
2022-01-01T07:10:00-05:00,2022-01-01 12:10:00+00:00,2022-01-01T07:15:00-05:00,2022-01-01 12:15:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,16.024232
2022-01-01T07:15:00-05:00,2022-01-01 12:15:00+00:00,2022-01-01T07:20:00-05:00,2022-01-01 12:20:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,15.608429
2022-01-01T07:20:00-05:00,2022-01-01 12:20:00+00:00,2022-01-01T07:25:00-05:00,2022-01-01 12:25:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,16.919962
2022-01-01T07:25:00-05:00,2022-01-01 12:25:00+00:00,2022-01-01T07:30:00-05:00,2022-01-01 12:30:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,15.791238
2022-01-01T07:30:00-05:00,2022-01-01 12:30:00+00:00,2022-01-01T07:35:00-05:00,2022-01-01 12:35:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,16.620067
2022-01-01T07:35:00-05:00,2022-01-01 12:35:00+00:00,2022-01-01T07:40:00-05:00,2022-01-01 12:40:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,15.833327
2022-01-01T07:40:00-05:00,2022-01-01 12:40:00+00:00,2022-01-01T07:45:00-05:00,2022-01-01 12:45:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,16.117894
2022-01-01T07:45:00-05:00,2022-01-01 12:45:00+00:00,2022-01-01T07:50:00-05:00,2022-01-01 12:50:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,16.204511
2022-01-01T07:50:00-05:00,2022-01-01 12:50:00+00:00,2022-01-01T07:55:00-05:00,2022-01-01 12:55:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,16.413561
2022-01-01T07:55:00-05:00,2022-01-01 12:55:00+00:00,2022-01-01T08:00:00-05:00,2022-01-01 13:00:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,16.413561
2022-01-01T08:00:00-05:00,2022-01-01 13:00:00+00:00,2022-01-01T08:05:00-05:00,2022-01-01 13:05:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,16.181609
2022-01-01T08:05:00-05:00,2022-01-01 13:05:00+00:00,2022-01-01T08:10:00-05:00,2022-01-01 13:10:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,16.878402
2022-01-01T08:10:00-05:00,2022-01-01 13:10:00+00:00,2022-01-01T08:15:00-05:00,2022-01-01 13:15:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.069404
2022-01-01T08:15:00-05:00,2022-01-01 13:15:00+00:00,2022-01-01T08:20:00-05:00,2022-01-01 13:20:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.217103
2022-01-01T08:20:00-05:00,2022-01-01 13:20:00+00:00,2022-01-01T08:25:00-05:00,2022-01-01 13:25:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,16.970697
2022-01-01T08:25:00-05:00,2022-01-01 13:25:00+00:00,2022-01-01T08:30:00-05:00,2022-01-01 13:30:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.11125
2022-01-01T08:30:00-05:00,2022-01-01 13:30:00+00:00,2022-01-01T08:35:00-05:00,2022-01-01 13:35:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.16602
2022-01-01T08:35:00-05:00,2022-01-01 13:35:00+00:00,2022-01-01T08:40:00-05:00,2022-01-01 13:40:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.034966
2022-01-01T08:40:00-05:00,2022-01-01 13:40:00+00:00,2022-01-01T08:45:00-05:00,2022-01-01 13:45:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.057557
2022-01-01T08:45:00-05:00,2022-01-01 13:45:00+00:00,2022-01-01T08:50:00-05:00,2022-01-01 13:50:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.019667
2022-01-01T08:50:00-05:00,2022-01-01 13:50:00+00:00,2022-01-01T08:55:00-05:00,2022-01-01 13:55:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.057569
2022-01-01T08:55:00-05:00,2022-01-01 13:55:00+00:00,2022-01-01T09:00:00-05:00,2022-01-01 14:00:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.715026
2022-01-01T09:00:00-05:00,2022-01-01 14:00:00+00:00,2022-01-01T09:05:00-05:00,2022-01-01 14:05:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.826275
2022-01-01T09:05:00-05:00,2022-01-01 14:05:00+00:00,2022-01-01T09:10:00-05:00,2022-01-01 14:10:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.543865
2022-01-01T09:10:00-05:00,2022-01-01 14:10:00+00:00,2022-01-01T09:15:00-05:00,2022-01-01 14:15:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,16.234047
2022-01-01T09:15:00-05:00,2022-01-01 14:15:00+00:00,2022-01-01T09:20:00-05:00,2022-01-01 14:20:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.451104
2022-01-01T09:20:00-05:00,2022-01-01 14:20:00+00:00,2022-01-01T09:25:00-05:00,2022-01-01 14:25:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,16.712449
2022-01-01T09:25:00-05:00,2022-01-01 14:25:00+00:00,2022-01-01T09:30:00-05:00,2022-01-01 14:30:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,16.960189
2022-01-01T09:30:00-05:00,2022-01-01 14:30:00+00:00,2022-01-01T09:35:00-05:00,2022-01-01 14:35:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,16.899337
2022-01-01T09:35:00-05:00,2022-01-01 14:35:00+00:00,2022-01-01T09:40:00-05:00,2022-01-01 14:40:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,16.993308
